State,Year-Month,SARIMA_Sales_Prediction,LSTM_Predicted_Sales,Weighted_Ensemble,RMSE_Weighted_Ensemble,MSE_Weighted_Ensemble,MAE_Weighted_Ensemble,RMSE_LSTM,MSE_LSTM,MAE_LSTM,RMSE_SARIMA,MSE_SARIMA,MAE_SARIMA,Sales
Idaho,2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-09,0.0,0.0,0.0,89.97,8094.6008999999995,89.97,89.97,8094.6008999999995,89.97,89.97,8094.6008999999995,89.97,89.97
Idaho,2018-10,0.0,0.0,0.0,307.74,94703.9076,307.74,307.74,94703.9076,307.74,307.74,94703.9076,307.74,307.74
Idaho,2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,2018-12,0.0,0.0,0.0,21.312,454.20134400000006,21.312,21.312,454.20134400000006,21.312,21.312,454.20134400000006,21.312,21.312
Illinois,2018-01,0.0,0.0,0.0,2450.122611111111,6003100.809477928,2450.122611111111,2450.122611111111,6003100.809477928,2450.122611111111,2450.122611111111,6003100.809477928,2450.122611111111,2450.122611111111
Illinois,2018-02,0.0,0.0,0.0,1898.4027502930833,3603933.0023203427,1898.4027502930833,1898.4027502930833,3603933.0023203427,1898.4027502930833,1898.4027502930833,3603933.0023203427,1898.4027502930833,1898.4027502930833
Illinois,2018-03,0.0,0.0,0.0,1878.5342219451372,3528890.823019022,1878.5342219451372,1878.5342219451372,3528890.823019022,1878.5342219451372,1878.5342219451372,3528890.823019022,1878.5342219451372,1878.5342219451372
Illinois,2018-04,0.0,0.0,0.0,1311.3958482023968,1719759.0706824837,1311.3958482023968,1311.3958482023968,1719759.0706824837,1311.3958482023968,1311.3958482023968,1719759.0706824837,1311.3958482023968,1311.3958482023968
Illinois,2018-05,0.0,0.0,0.0,1032.0917502930834,1065213.3810230403,1032.0917502930834,1032.0917502930834,1065213.3810230403,1032.0917502930834,1032.0917502930834,1065213.3810230403,1032.0917502930834,1032.0917502930834
Illinois,2018-06,0.0,0.0,0.0,3099.1408482023967,9604673.996996671,3099.1408482023967,3099.1408482023967,9604673.996996671,3099.1408482023967,3099.1408482023967,9604673.996996671,3099.1408482023967,3099.1408482023967
Illinois,2018-07,0.0,0.0,0.0,1521.144,2313879.068736,1521.144,1521.144,2313879.068736,1521.144,1521.144,2313879.068736,1521.144,1521.144
Illinois,2018-08,0.0,0.0,0.0,816.7823450292398,667133.3991514641,816.7823450292398,816.7823450292398,667133.3991514641,816.7823450292398,816.7823450292398,667133.3991514641,816.7823450292398,816.7823450292398
Illinois,2018-09,0.0,0.0,0.0,4066.935,16539960.294225,4066.935,4066.935,16539960.294225,4066.935,4066.935,16539960.294225,4066.935,4066.935
Illinois,2018-10,0.0,0.0,0.0,2826.4111584552466,7988600.036640329,2826.4111584552466,2826.4111584552466,7988600.036640329,2826.4111584552466,2826.4111584552466,7988600.036640329,2826.4111584552466,2826.4111584552466
Illinois,2018-11,0.0,0.0,0.0,1384.4392219451372,1916671.959260057,1384.4392219451372,1384.4392219451372,1916671.959260057,1384.4392219451372,1384.4392219451372,1916671.959260057,1384.4392219451372,1384.4392219451372
Illinois,2018-12,0.0,0.0,0.0,4762.85,22684740.122500002,4762.85,4762.85,22684740.122500002,4762.85,4762.85,22684740.122500002,4762.85,4762.85
Indiana,2018-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,2018-03,0.0,0.0,0.0,367.49,135048.9001,367.49,367.49,135048.9001,367.49,367.49,135048.9001,367.49,367.49
Indiana,2018-04,0.0,0.0,0.0,155.34,24130.515600000002,155.34,155.34,24130.515600000002,155.34,155.34,24130.515600000002,155.34,155.34
Indiana,2018-05,0.0,0.0,0.0,2751.9700000000003,7573338.880900001,2751.9700000000003,2751.9700000000003,7573338.880900001,2751.9700000000003,2751.9700000000003,7573338.880900001,2751.9700000000003,2751.9700000000003
Indiana,2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,2018-07,0.0,0.0,0.0,1337.71,1789468.0441,1337.71,1337.71,1789468.0441,1337.71,1337.71,1789468.0441,1337.71,1337.71
Indiana,2018-08,0.0,0.0,0.0,2877.324,8278993.400976,2877.324,2877.324,8278993.400976,2877.324,2877.324,8278993.400976,2877.324,2877.324
Indiana,2018-09,0.0,0.0,0.0,7.184,51.609856,7.184,7.184,51.609856,7.184,7.184,51.609856,7.184,7.184
Indiana,2018-10,0.0,0.0,0.0,909.12,826499.1744,909.12,909.12,826499.1744,909.12,909.12,826499.1744,909.12,909.12
Indiana,2018-11,0.0,0.0,0.0,3980.31,15842867.6961,3980.31,3980.31,15842867.6961,3980.31,3980.31,15842867.6961,3980.31,3980.31
Indiana,2018-12,0.0,0.0,0.0,856.38,733386.7044,856.38,856.38,733386.7044,856.38,856.38,733386.7044,856.38,856.38
Iowa,2018-01,0.0,0.0,0.0,332.51,110562.9001,332.51,332.51,110562.9001,332.51,332.51,110562.9001,332.51,332.51
Iowa,2018-02,0.0,0.0,0.0,7.71,59.4441,7.71,7.71,59.4441,7.71,7.71,59.4441,7.71,7.71
Iowa,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-04,0.0,0.0,0.0,106.32,11303.942399999998,106.32,106.32,11303.942399999998,106.32,106.32,11303.942399999998,106.32,106.32
Iowa,2018-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa,2018-12,0.0,0.0,0.0,57.43,3298.2049,57.43,57.43,3298.2049,57.43,57.43,3298.2049,57.43,57.43
Kansas,2018-01,0.0,0.0,0.0,279.9,78344.00999999998,279.9,279.9,78344.00999999998,279.9,279.9,78344.00999999998,279.9,279.9
Kansas,2018-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas,2018-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
